Date,Value,change,% Change
5/31/2015,141525,331000,0.23%
6/30/2015,141699,174000,0.12%
7/31/2015,142001,302000,0.21%
8/31/2015,142126,125000,0.09%
9/30/2015,142281,155000,0.11%
10/31/2015,142587,306000,0.22%
11/30/2015,142824,237000,0.17%
12/31/2015,143097,273000,0.19%
1/31/2016,143170,73000,0.05%
2/29/2016,143433,263000,0.18%
3/31/2016,143662,229000,0.16%
4/30/2016,143849,187000,0.13%
5/31/2016,143891,42000,0.03%
6/30/2016,144158,267000,0.19%
7/31/2016,144512,354000,0.25%
8/31/2016,144647,135000,0.09%
9/30/2016,144916,269000,0.19%
10/31/2016,145061,145000,0.10%
11/30/2016,145212,151000,0.10%
12/31/2016,145442,230000,0.16%
1/31/2017,145627,185000,0.13%
2/28/2017,145815,188000,0.13%
3/31/2017,145944,129000,0.09%
4/30/2017,146141,197000,0.13%
5/31/2017,146296,155000,0.11%
6/30/2017,146512,216000,0.15%
7/31/2017,146727,215000,0.15%
8/31/2017,146911,184000,0.13%
9/30/2017,146929,18000,0.01%
10/31/2017,147196,267000,0.18%
11/30/2017,147421,225000,0.15%
12/31/2017,147551,130000,0.09%
1/31/2018,147672,121000,0.08%
2/28/2018,148078,406000,0.27%
3/31/2018,148254,176000,0.12%
4/30/2018,148391,137000,0.09%
5/31/2018,148669,278000,0.19%
6/30/2018,148888,219000,0.15%
7/31/2018,149024,136000,0.09%
8/31/2018,149268,244000,0.16%
9/30/2018,149348,80000,0.05%
10/31/2018,149549,201000,0.13%
11/30/2018,149683,134000,0.09%
12/31/2018,149865,182000,0.12%
1/31/2019,150134,269000,0.18%
2/28/2019,150135,1000,0.00%
3/31/2019,150282,147000,0.10%
4/30/2019,150492,210000,0.14%
5/31/2019,150577,85000,0.06%
6/30/2019,150759,182000,0.12%
7/31/2019,150953,194000,0.13%
8/31/2019,151160,207000,0.14%
9/30/2019,151368,208000,0.14%
10/31/2019,151553,185000,0.12%
11/30/2019,151814,261000,0.17%
12/31/2019,151998,184000,0.12%
1/31/2020,152212,214000,0.14%
2/29/2020,152463,251000,0.16%
3/31/2020,151090,-1373000,-0.90%
4/30/2020,130303,-20787000,-13.76%
5/31/2020,133002,2699000,2.07%
6/30/2020,137802,4800000,3.61%
