DATE,GDP,Change ($B),% Change,% Change Annualised
1947-01-01,243.16400000000002,,,
1947-04-01,245.968,2.8039999999999736,0.011531312200819155,0.04612524880327662
1947-07-01,249.585,3.6170000000000186,0.014705164899499135,0.05882065959799654
1947-10-01,259.745,10.159999999999997,0.04070757457379237,0.16283029829516948
1948-01-01,265.742,5.997000000000014,0.023088028643477365,0.09235211457390946
1948-04-01,272.567,6.824999999999989,0.02568280512677701,0.10273122050710803
1948-07-01,279.19599999999997,6.628999999999962,0.024320625754401526,0.0972825030176061
1948-10-01,280.366,1.170000000000016,0.004190604449920476,0.016762417799681906
1949-01-01,275.034,-5.331999999999994,-0.01901799790274139,-0.07607199161096556
1949-04-01,271.351,-3.6829999999999927,-0.013391071649323294,-0.053564286597293176
1949-07-01,272.889,1.538000000000011,0.005667935625813136,0.022671742503252545
1949-10-01,270.627,-2.2620000000000005,-0.008289084572848271,-0.033156338291393084
1950-01-01,280.828,10.200999999999965,0.03769394775835355,0.1507757910334142
1950-04-01,290.383,9.555000000000007,0.03402438503283145,0.1360975401313258
1950-07-01,308.153,17.77000000000004,0.06119504240950757,0.2447801696380303
1950-10-01,319.945,11.791999999999973,0.03826670517567554,0.15306682070270217
1951-01-01,336.0,16.055000000000007,0.05018049977339856,0.20072199909359423
1951-04-01,344.09,8.089999999999975,0.024077380952380878,0.09630952380952351
1951-07-01,351.385,7.295000000000016,0.021200848615188006,0.08480339446075202
1951-10-01,356.17800000000005,4.793000000000063,0.013640309062709077,0.05456123625083631
1952-01-01,359.82,3.641999999999939,0.01022522446641827,0.04090089786567308
1952-04-01,361.03,1.2099999999999795,0.003362792507364709,0.013451170029458837
1952-07-01,367.70099999999996,6.670999999999992,0.018477688834722894,0.07391075533889158
1952-10-01,380.81199999999995,13.11099999999999,0.035656688450670604,0.14262675380268242
1953-01-01,387.98,7.168000000000063,0.018822936252008926,0.0752917450080357
1953-04-01,391.749,3.7690000000000055,0.009714418268983005,0.03885767307593202
1953-07-01,391.171,-0.5780000000000314,-0.001475434525678554,-0.005901738102714216
1953-10-01,385.97,-5.200999999999965,-0.013295975417400463,-0.05318390166960185
1954-01-01,385.345,-0.625,-0.001619296836541717,-0.006477187346166868
1954-04-01,386.121,0.7759999999999536,0.0020137798596062684,0.008055119438425073
1954-07-01,390.996,4.875,0.01262557592050162,0.05050230368200648
1954-10-01,399.73400000000004,8.738000000000056,0.02234805471155732,0.08939221884622928
1955-01-01,413.07300000000004,13.338999999999999,0.03336969084441144,0.13347876337764575
1955-04-01,421.532,8.458999999999946,0.020478220556656934,0.08191288222662774
1955-07-01,430.221,8.689000000000021,0.02061290720514708,0.08245162882058832
