DATE,GDPC1,Change ($B),% Change,% Change Annualised
1947-01-01,2033.0610000000001,,,
1947-04-01,2027.639,-5.422000000000253,-0.002666914568721923,-0.010667658274887692
1947-07-01,2023.4520000000002,-4.186999999999671,-0.0020649632404977636,-0.008259852961991054
1947-10-01,2055.103,31.65099999999984,0.01564208095867836,0.06256832383471345
1948-01-01,2086.0170000000003,30.914000000000215,0.015042555044686434,0.06017022017874574
1948-04-01,2120.45,34.43299999999954,0.01650657688791579,0.06602630755166317
1948-07-01,2132.598,12.148000000000138,0.0057289726237355065,0.022915890494942026
1948-10-01,2134.981,2.3830000000002656,0.001117416409468719,0.004469665637874876
1949-01-01,2105.562,-29.419000000000324,-0.013779513728693793,-0.05511805491477517
1949-04-01,2098.38,-7.181999999999789,-0.003410965813402722,-0.013643863253610888
1949-07-01,2120.044,21.66399999999976,0.010324154824197684,0.04129661929679074
1949-10-01,2102.251,-17.792999999999665,-0.008392750339143773,-0.03357100135657509
1950-01-01,2184.8720000000003,82.6210000000001,0.03930120618327693,0.1572048247331077
1950-04-01,2251.507,66.63499999999976,0.030498354136992756,0.12199341654797102
1950-07-01,2338.514,87.00700000000006,0.03864389495568976,0.15457557982275905
1950-10-01,2383.291,44.777000000000044,0.01914762964857175,0.076590518594287
1951-01-01,2415.66,32.36899999999969,0.013581639841714566,0.05432655936685826
1951-04-01,2457.5170000000003,41.857000000000426,0.017327355670914146,0.06930942268365659
1951-07-01,2508.166,50.64899999999989,0.020609826910658047,0.08243930764263219
1951-10-01,2513.69,5.523999999999887,0.0022024060608427654,0.008809624243371061
1952-01-01,2540.55,26.860000000000127,0.010685486277146383,0.04274194510858553
1952-04-01,2546.022,5.471999999999753,0.0021538643207179575,0.00861545728287183
1952-07-01,2564.401,18.378999999999905,0.007218712171379371,0.028874848685517485
1952-10-01,2648.6209999999996,84.2199999999998,0.032841977522236165,0.13136791008894466
1953-01-01,2697.855,49.23400000000038,0.018588540980382096,0.07435416392152838
1953-04-01,2718.7090000000003,20.85400000000027,0.007729844635831151,0.030919378543324605
1953-07-01,2703.4109999999996,-15.298000000000684,-0.005626935431486291,-0.022507741725945163
1953-10-01,2662.482,-40.92899999999963,-0.015139762322488037,-0.06055904928995215
1954-01-01,2649.755,-12.726999999999862,-0.004780126213059788,-0.01912050485223915
1954-04-01,2652.643,2.88799999999992,0.0010899120862117861,0.004359648344847145
1954-07-01,2682.6009999999997,29.95799999999963,0.01129364185078785,0.0451745674031514
1954-10-01,2735.091,52.49000000000024,0.019566830848120942,0.07826732339248377
1955-01-01,2813.212,78.1210000000001,0.028562486586369618,0.11424994634547847
1955-04-01,2858.988,45.77599999999984,0.016271791816613757,0.06508716726645503
1955-07-01,2897.598,38.61000000000013,0.013504778613971036,0.05401911445588414
1955-10-01,2914.993,17.394999999999982,0.0060032482076533,0.0240129928306132
1956-01-01,2903.671,-11.322000000000116,-0.003884057354511694,-0.015536229418046776
1956-04-01,2927.665,23.994000000000142,0.008263332863812867,0.03305333145525147
1956-07-01,2925.035,-2.630000000000109,-0.0008983268235949193,-0.0035933072943796773
1956-10-01,2973.179,48.14400000000023,0.01645929023071524,0.06583716092286096
1957-01-01,2992.219,19.039999999999964,0.006403919844718331,0.025615679378873324
1957-04-01,2985.663,-6.55600000000004,-0.0021910160987548277,-0.008764064395019311
1957-07-01,3014.9190000000003,29.256000000000313,0.009798828601888632,0.03919531440755453
1957-10-01,2983.7270000000003,-31.192000000000007,-0.010345883255901689,-0.041383533023606756
1958-01-01,2906.2740000000003,-77.45299999999997,-0.02595847408291707,-0.10383389633166829
1958-04-01,2925.3790000000004,19.105000000000018,0.006573709154745977,0.026294836618983908
1958-07-01,2993.0679999999998,67.6889999999994,0.0231385403395592,0.0925541613582368
1958-10-01,3063.085,70.01700000000028,0.0233930535490674,0.0935722141962696
1959-01-01,3121.9359999999997,58.85099999999966,0.019212982989371685,0.07685193195748674
1959-04-01,3192.38,70.44400000000041,0.022564203750493395,0.09025681500197358
1959-07-01,3194.653,2.2729999999996835,0.0007120079689759695,0.002848031875903878
1959-10-01,3203.759,9.106000000000222,0.0028503878198977706,0.011401551279591082
1960-01-01,3275.757,71.99800000000005,0.022472976275681233,0.08989190510272493
1960-04-01,3258.0879999999997,-17.669000000000324,-0.005393867738052727,-0.021575470952210907
1960-07-01,3274.0290000000005,15.941000000000713,0.004892746911685952,0.01957098764674381
1960-10-01,3232.009,-42.02000000000044,-0.012834339585874321,-0.051337358343497286
1961-01-01,3253.8259999999996,21.816999999999553,0.006750290608720233,0.027001162434880932
1961-04-01,3309.059,55.23300000000063,0.016974785990400365,0.06789914396160146
1961-07-01,3372.5809999999997,63.52199999999948,0.01919639389929273,0.07678557559717092
1961-10-01,3438.7209999999995,66.13999999999987,0.019611093106436828,0.07844437242574731
1962-01-01,3500.054,61.33300000000054,0.017835991928394357,0.07134396771357743
1962-04-01,3531.683,31.628999999999905,0.009036717719212328,0.03614687087684931
1962-07-01,3575.07,43.38700000000017,0.012285077681094325,0.0491403107243773
1962-10-01,3586.827,11.757000000000062,0.0032886069363677883,0.013154427745471153
1963-01-01,3625.9809999999998,39.15399999999954,0.010916054774874784,0.043664219099499135
1963-04-01,3666.6690000000003,40.68800000000056,0.011221239162588104,0.044884956650352414
1963-07-01,3747.278,80.60899999999947,0.02198425873728982,0.08793703494915928
1963-10-01,3771.845,24.567000000000007,0.006555958751926161,0.026223835007704643
1964-01-01,3851.366,79.52100000000019,0.02108278574543765,0.0843311429817506
1964-04-01,3893.296,41.929999999999836,0.010887046310322113,0.04354818524128845
1964-07-01,3954.1209999999996,60.82499999999982,0.015623009398720189,0.062492037594880756
1964-10-01,3966.335,12.214000000000397,0.0030889292462219498,0.012355716984887799
1965-01-01,4062.3109999999997,95.97599999999966,0.024197653501280003,0.09679061400512001
1965-04-01,4113.629,51.31800000000021,0.012632710789499013,0.05053084315799605
1965-07-01,4205.085999999999,91.45699999999943,0.022232680681704586,0.08893072272681835
1965-10-01,4301.973,96.88700000000063,0.02304043246677967,0.09216172986711868
1966-01-01,4406.693,104.72000000000025,0.02434231921027874,0.09736927684111496
1966-04-01,4421.747,15.054000000000087,0.003416167180241514,0.013664668720966056
1966-07-01,4459.195,37.44799999999941,0.008469050807293987,0.03387620322917595
1966-10-01,4495.777,36.582000000000335,0.008203722869262409,0.032814891477049635
1967-01-01,4535.590999999999,39.813999999999396,0.008855866294079862,0.035423465176319446
1967-04-01,4538.37,2.779000000000451,0.0006127095675074745,0.002450838270029898
1967-07-01,4581.309,42.939000000000306,0.009461326423363614,0.037845305693454456
1967-10-01,4615.853,34.54399999999987,0.007540203029308801,0.030160812117235203
1968-01-01,4709.9929999999995,94.13999999999942,0.02039493025449457,0.08157972101797828
1968-04-01,4788.688,78.69500000000062,0.016708092772112604,0.06683237108845042
1968-07-01,4825.799,37.110999999999876,0.007749721844480195,0.03099888737792078
1968-10-01,4844.779,18.980000000000473,0.003933027463431493,0.015732109853725973
1969-01-01,4920.605,75.82599999999911,0.015651075105799217,0.06260430042319687
1969-04-01,4935.564,14.959000000000742,0.003040073324316994,0.012160293297267977
1969-07-01,4968.164000000001,32.600000000000364,0.006605121522079482,0.02642048608831793
1969-10-01,4943.935,-24.22900000000027,-0.004876851891362777,-0.019507407565451107
1970-01-01,4936.594,-7.341000000000349,-0.0014848496187753746,-0.005939398475101498
1970-04-01,4943.6,7.006000000000313,0.001419197122550564,0.005676788490202256
1970-07-01,4989.159000000001,45.5590000000002,0.009215753701755869,0.036863014807023475
1970-10-01,4935.693,-53.46600000000035,-0.010716435375180522,-0.04286574150072209
1971-01-01,5069.746,134.05299999999988,0.027159914524667483,0.10863965809866993
1971-04-01,5097.179,27.432999999999993,0.00541111921583437,0.02164447686333748
1971-07-01,5139.128,41.948999999999614,0.008229846352266534,0.03291938540906614
1971-10-01,5151.245,12.11700000000019,0.0023577929952318666,0.009431171980927466
1972-01-01,5245.974,94.72900000000027,0.018389534957083287,0.07355813982833315
1972-04-01,5365.045,119.07099999999991,0.022697596290031097,0.09079038516012439
1972-07-01,5415.7119999999995,50.66699999999946,0.009443909603740419,0.037775638414961676
1972-10-01,5506.396,90.6840000000002,0.016744612712049634,0.06697845084819853
1973-01-01,5642.669,136.27300000000014,0.02474812926640224,0.09899251706560896
1973-04-01,5704.098000000001,61.429000000001,0.010886514874432818,0.04354605949773127
1973-07-01,5674.1,-29.998000000000502,-0.00525902605460149,-0.02103610421840596
1973-10-01,5727.96,53.85999999999967,0.009492254278211432,0.03796901711284573
1974-01-01,5678.713000000001,-49.24699999999939,-0.008597650821583813,-0.03439060328633525
1974-04-01,5692.21,13.496999999999389,0.0023767709338364806,0.009507083735345923
1974-07-01,5638.411,-53.79899999999998,-0.009451337881069,-0.037805351524276
1974-10-01,5616.526,-21.88500000000022,-0.003881412688787722,-0.015525650755150888
1975-01-01,5548.156,-68.36999999999989,-0.012173005163690132,-0.048692020654760526
1975-04-01,5587.8,39.64400000000023,0.007145437150649636,0.028581748602598545
1975-07-01,5683.444,95.64400000000023,0.017116575396399325,0.0684663015855973
1975-10-01,5759.972,76.52799999999934,0.013465075049564845,0.05386030019825938
1976-01-01,5889.5,129.52800000000025,0.022487609314767454,0.08995043725906982
1976-04-01,5932.710999999999,43.21099999999933,0.0073369555989470925,0.02934782239578837
1976-07-01,5965.265,32.554000000001,0.005487204753442665,0.02194881901377066
1976-10-01,6008.504,43.23899999999958,0.007248462557824187,0.028993850231296747
1977-01-01,6079.494000000001,70.99000000000069,0.011814920985323552,0.047259683941294206
1977-04-01,6197.686,118.1919999999991,0.019441091643481956,0.07776436657392782
1977-07-01,6309.514,111.82800000000043,0.018043508496558225,0.0721740339862329
1977-10-01,6309.651999999999,0.13799999999901047,2.1871732117428877e-05,8.748692846971551e-05
1978-01-01,6329.791,20.139000000001033,0.0031917766621678556,0.012767106648671422
1978-04-01,6574.39,244.59900000000016,0.03864250810176828,0.15457003240707312
1978-07-01,6640.496999999999,66.10699999999906,0.010055229458550308,0.04022091783420123
1978-10-01,6729.755,89.25800000000072,0.013441463794050534,0.05376585517620214
1979-01-01,6741.854,12.09900000000016,0.0017978366225814835,0.007191346490325934
1979-04-01,6749.063,7.208999999999833,0.0010692904355389388,0.004277161742155755
1979-07-01,6799.2,50.136999999999716,0.007428734922166225,0.0297149396886649
1979-10-01,6816.203,17.00300000000061,0.0025007353806330013,0.010002941522532005
1980-01-01,6837.641,21.437999999999192,0.003145152807215279,0.012580611228861116
1980-04-01,6696.753000000001,-140.887999999999,-0.020604767053432504,-0.08241906821373002
1980-07-01,6688.794,-7.959000000000742,-0.0011884864202100776,-0.00475394568084031
1980-10-01,6813.535,124.74099999999999,0.0186492512701093,0.0745970050804372
1981-01-01,6947.0419999999995,133.5069999999996,0.01959438089038934,0.07837752356155736
1981-04-01,6895.559,-51.482999999999265,-0.007410780012557794,-0.029643120050231175
1981-07-01,6978.135,82.57600000000002,0.011975243776465305,0.04790097510586122
1981-10-01,6902.105,-76.03000000000065,-0.010895461323118694,-0.043581845292474775
1982-01-01,6794.878000000001,-107.22699999999895,-0.015535405503103616,-0.062141622012414466
1982-04-01,6825.876,30.997999999999593,0.004561965645299315,0.01824786258119726
1982-07-01,6799.781,-26.095000000000255,-0.0038229525411830334,-0.015291810164732134
1982-10-01,6802.496999999999,2.7159999999994398,0.00039942462852837757,0.0015976985141135103
1983-01-01,6892.144,89.64700000000084,0.01317854311438893,0.05271417245755572
1983-04-01,7048.982,156.83799999999974,0.022756053849136038,0.09102421539654415
1983-07-01,7189.896,140.91399999999976,0.01999068801707815,0.0799627520683126
1983-10-01,7339.893,149.9970000000003,0.020862193277900065,0.08344877311160026
1984-01-01,7483.371,143.47800000000007,0.01954769640374865,0.0781907856149946
1984-04-01,7612.668000000001,129.29700000000048,0.017277908578901213,0.06911163431560485
1984-07-01,7686.059,73.39099999999962,0.009640641099808889,0.038562564399235555
1984-10-01,7749.151,63.09199999999964,0.008208628114876548,0.03283451245950619
1985-01-01,7824.246999999999,75.09599999999955,0.009690868070579617,0.03876347228231847
1985-04-01,7893.1359999999995,68.88900000000012,0.00880455333273611,0.03521821333094444
1985-07-01,8013.674,120.53800000000047,0.015271243267568346,0.061084973070273385
1985-10-01,8073.2390000000005,59.56500000000051,0.007432920281009725,0.0297316811240389
1986-01-01,8148.603,75.36399999999958,0.009335038885879499,0.037340155543517994
1986-04-01,8185.303000000001,36.70000000000073,0.004503839492487227,0.01801535796994891
1986-07-01,8263.639000000001,78.33600000000024,0.009570323786425528,0.03828129514570211
1986-10-01,8308.021,44.38199999999961,0.005370757362464618,0.02148302944985847
1987-01-01,8369.93,61.90899999999965,0.007451714433557521,0.029806857734230086
1987-04-01,8460.233,90.30299999999988,0.010788979119299658,0.04315591647719863
1987-07-01,8533.635,73.40200000000004,0.008676120385809671,0.034704481543238686
1987-10-01,8680.162,146.52700000000004,0.017170525807583825,0.0686821032303353
1988-01-01,8725.006,44.84399999999914,0.0051662630259665665,0.020665052103866266
1988-04-01,8839.641,114.63500000000022,0.013138672913233451,0.052554691652933805
1988-07-01,8891.435,51.79399999999987,0.005859287724467421,0.023437150897869685
1988-10-01,9009.913,118.47800000000097,0.01332495823227653,0.05329983292910612
1989-01-01,9101.508,91.59499999999935,0.010166024910562399,0.040664099642249596
1989-04-01,9170.976999999999,69.46899999999914,0.007632691197986041,0.030530764791944165
1989-07-01,9238.923,67.94600000000173,0.007408807153262087,0.029635228613048348
1989-10-01,9257.128,18.204999999999927,0.001970467769890405,0.00788187107956162
1990-01-01,9358.289,101.16100000000006,0.010927903341079404,0.043711613364317614
1990-04-01,9392.251,33.961999999999534,0.0036290821965425657,0.014516328786170263
1990-07-01,9398.499,6.2479999999995925,0.0006652292405728844,0.0026609169622915374
1990-10-01,9312.937,-85.5619999999999,-0.00910379412712603,-0.03641517650850412
1991-01-01,9269.367,-43.56999999999971,-0.00467843817691449,-0.01871375270765796
1991-04-01,9341.642,72.27499999999964,0.007797188308543479,0.031188753234173916
1991-07-01,9388.845,47.20299999999952,0.005052966063139541,0.020211864252558165
1991-10-01,9421.565,32.720000000001164,0.003484986704967552,0.013939946819870208
1992-01-01,9534.346,112.78099999999904,0.011970516575537049,0.047882066302148196
1992-04-01,9637.732,103.38600000000042,0.01084353347361211,0.04337413389444844
1992-07-01,9732.979,95.24699999999939,0.009882719295369435,0.03953087718147774
